word	Spam	Ham
ve	13	82
vl	0	8
site	0	5
vs	0	1
vu	2	0
conserve	0	1
terrorist	0	2
juan	0	2
matthew	1	0
gibbs	0	2
mutai	0	1
spell	0	3
dusk	0	1
phb	1	0
drink	0	18
upon	0	1
phd	0	1
dust	0	1
ikea	0	3
php	2	0
infact	0	1
genus	0	1
off	4	56
acknowledgement	0	1
polys	8	0
colour	18	4
polyh	2	0
command	0	1
polyc	1	0
bothering	0	1
predicte	0	1
newest	3	0
less	0	9
moments	0	3
mahfuuz	0	1
clocks	0	1
rooms	1	4
paul	0	1
faglord	0	1
web	3	0
wee	0	2
wed	1	5
havbeen	0	1
yalru	0	1
wen	0	24
wer	0	2
combine	0	2
crack	0	3
nvq	0	1
checking	0	11
whispers	0	1
haul	0	1
five	3	3
desk	0	1
nvm	0	5
passable	0	1
fools	0	1
onion	0	2
nri	0	1
garage	0	3
warned	0	1
become	1	6
wrks	0	1
replacement	0	2
cribbs	0	1
gymnastics	0	1
choosing	0	1
transport	0	2
literally	0	2
avoid	0	2
fedex	0	1
woohoo	0	1
passion	1	0
forgiven	0	2
blowing	0	1
schedule	2	2
pressure	0	1
chikku	0	17
loans	1	1
hiding	0	1
gained	0	1
sister	0	17
puts	0	1
iknow	0	1
nipost	0	1
seeds	2	0
iwas	0	1
comp	10	2
shoppin	0	2
software	0	3
letters	0	4
pussy	0	6
screamed	0	2
suprman	3	0
sapna	0	1
roads	0	3
terminated	0	1
brownies	0	1
hehe	0	1
housing	0	1
flyng	1	0
yrs	7	5
wenwecan	0	1
huai	0	1
function	0	1
notxt	2	0
basic	0	4
delivery	20	1
bubbletext	1	0
batsman	0	1
count	0	2
kusruthi	0	4
places	0	4
official	5	1
placed	0	1
convince	0	1
apnt	0	1
bedrm	0	2
problem	0	35
hvae	1	0
rightly	0	2
sambar	0	1
nurses	0	1
contribute	0	1
slowing	0	1
carpark	0	1
ink	0	1
ing	0	2
inc	8	0
nonetheless	0	1
marley	1	0
lately	0	2
fgkslpo	1	0
happiest	0	1
details	8	19
ppmpobox	1	0
repeat	1	1
monday	0	11
footprints	0	1
chance	27	12
wrenching	0	1
badass	1	0
ghost	2	0
experiencehttp	1	0
kanji	0	1
rule	0	3
elaine	0	2
carlie	1	0
reache	0	1
ciao	0	1
saves	0	1
lkpobox	1	0
nursery	0	1
saved	0	4
drinkin	0	2
barmed	0	1
phyhcmk	0	1
mmmmmmm	0	1
wesleys	0	1
invaders	2	0
bike	0	1
walks	0	1
voted	0	1
thanku	0	1
restock	0	1
worth	13	4
eire	2	0
brolly	0	1
blanket	0	1
rec	1	1
blanked	0	1
chapel	0	1
tickets	3	7
fondly	0	1
cme	0	1
upload	2	1
disc	0	1
red	3	7
sachin	0	3
aeronautics	0	2
pandy	0	2
phones	12	1
chez	0	1
shut	0	3
horo	1	0
chef	0	1
nikiyu	1	0
specs	0	1
machines	0	1
textoperator	3	0
everyones	0	1
lookatme	1	0
above	0	1
toll	0	3
officially	0	2
told	0	53
celebration	0	2
sextextuk	1	0
glo	0	1
items	1	1
study	0	10
usps	0	1
walkin	0	1
hourish	0	1
smoke	0	13
stressed	0	1
aka	0	2
postponed	0	1
munsters	2	0
secure	0	1
darlings	0	2
bro	0	3
adrink	0	1
sparkling	1	0
total	1	3
brb	0	1
elaborate	0	1
jontin	0	1
sweater	0	1
coins	0	3
negative	0	1
craving	0	1
cann	0	3
tryin	0	1
gyno	0	1
expressoffer	2	0
haha	0	49
award	20	1
ihave	0	1
satthen	0	1
tallent	0	1
word	25	13
err	0	1
jess	0	4
work	3	95
tolerat	0	1
ere	0	1
cuddle	0	3
tnc	2	0
erm	0	3
camry	0	1
salesman	0	1
flung	0	1
india	1	11
panren	0	1
morow	1	2
recovery	0	2
verify	3	0
hitman	0	1
yorge	0	1
interview	0	4
fudge	0	1
pizza	0	8
fever	0	4
bday	0	4
videophones	5	0
after	5	85
lab	0	4
lac	0	1
lay	0	1
ldnw	5	0
law	0	5
lap	0	1
ldns	1	0
lar	0	37
complacent	0	1
homeowners	3	0
appreciate	0	7
shijutta	0	1
greet	2	3
strt	1	0
green	1	5
parish	0	1
worst	0	2
corvettes	0	1
order	13	7
lindsay	0	1
salon	0	2
office	1	30
dirtiest	1	0
consent	0	1
satisfied	0	3
grahmbell	0	3
jabo	0	1
siva	0	2
hudgi	0	1
reflection	0	1
somewhere	0	10
versus	0	1
then	10	222
them	2	74
woken	0	2
safe	0	11
break	4	12
emigrated	0	1
roommate	0	5
they	15	101
thew	0	1
thet	0	1
bani	0	1
bank	2	10
bread	0	2
oxygen	0	1
l	2	14
rocks	0	2
mrng	0	14
reasonable	0	2
carlos	0	17
lifted	0	1
ponnungale	0	1
innocent	0	2
logo	5	0
hostel	0	5
network	25	4
rummer	0	1
diesel	0	1
perwksub	3	0
medicine	0	3
unkempt	2	0
forth	0	1
sliding	0	1
mecause	0	1
leftovers	0	1
ntt	10	0
standard	6	0
unconvinced	0	1
appointments	0	1
fixd	0	1
nte	0	1
fring	0	1
ecef	1	0
dammit	0	1
created	1	4
writhing	0	1
lousy	0	3
starshine	0	1
another	2	35
comin	0	11
rats	0	1
moji	0	4
dogg	0	1
gudni	0	1
vibrate	0	1
rates	9	1
john	0	9
dogs	1	0
happily	0	2
rejected	0	1
fassyole	0	1
nahi	0	1
wasted	0	2
ppmsg	1	0
guild	0	1
ktv	0	1
ebay	0	2
iron	0	1
minus	0	1
failing	0	1
navigate	0	1
kintu	0	1
wihtuot	0	2
infront	0	2
contents	0	2
forced	0	1
haughaighgtujhyguj	0	1
genuine	3	0
laden	0	1
realy	0	7
luxury	2	1
siguviri	0	1
minmobsmore	1	0
curfew	0	1
unsecured	1	0
gravy	0	1
bruce	0	2
what	17	262
germany	3	0
proverb	0	2
grave	0	2
calculated	0	1
xafter	1	0
aunt	0	2
reserve	0	1
renting	0	1
bimbo	0	1
ovarian	0	1
carryin	0	1
enjoyed	2	2
gsoh	1	0
sleeps	0	1
guidance	0	1
yen	0	1
skye	0	1
hrs	25	9
wishlist	0	1
deepest	1	0
personality	0	4
do	24	335
dl	0	1
cappuccino	0	2
di	0	3
uncountable	0	1
dd	0	1
de	0	22
db	0	1
da	1	134
dx	2	0
dt	0	2
dr	0	2
runs	0	3
emc	1	0
exchanged	0	1
olage	0	1
steak	0	1
steal	0	1
steam	0	2
secretary	0	2
innu	0	1
triumphed	0	1
depends	0	7
torrents	0	1
miserable	0	2
draws	1	0
away	4	21
gentleman	0	3
unable	2	3
props	0	1
jumpers	0	1
aphex	0	1
manky	0	1
we	59	299
wc	10	0
wb	7	0
wa	3	3
wo	0	1
wn	0	3
wk	25	8
wi	0	1
wv	1	0
wu	4	0
wt	2	3
ws	1	3
wr	1	0
wq	14	0
wp	4	0
xchat	5	0
bras	0	1
received	2	2
cos	0	73
receivea	2	0
ill	1	41
coz	0	23
juliana	0	1
morefrmmob	2	0
requests	1	2
brah	0	2
com	59	15
ctxt	2	0
tone	42	0
jaya	0	2
mutations	0	1
itxt	0	1
tons	1	1
massive	0	2
oblivious	0	1
priscilla	0	2
speak	10	23
strong	3	4
nalla	0	2
callfreefone	2	0
nalli	0	1
olave	0	1
dozens	1	0
beloved	0	2
urfeeling	0	1
gently	0	4
lotsof	0	1
east	0	2
gnt	0	2
mymoby	1	0
air	0	7
ain	0	4
aid	0	1
aig	0	1
voice	0	10
mistake	1	7
stink	0	1
cons	0	1
audrey	0	2
iouri	0	3
utele	1	0
transfr	0	2
confirmed	0	3
patent	0	1
jiayin	0	2
authorise	0	1
jerry	0	2
avoids	0	1
puttin	0	2
wheel	0	1
splashmobile	1	0
nic	0	2
swell	0	1
hang	0	2
nig	0	1
evil	0	1
hand	0	12
pubs	0	1
nit	0	2
prescribed	0	1
kept	3	4
thy	0	2
thx	0	2
theacusations	0	1
tht	0	9
ths	0	3
lunsford	0	1
tho	0	18
thm	0	3
contact	56	12
thk	0	47
goals	2	0
epi	0	1
simonwatson	1	0
the	167	870
musical	0	1
traditions	0	1
athletic	0	1
gods	0	2
mid	2	5
goggles	0	1
thanks	15	60
adding	0	1
hills	0	1
shoul	0	1
wright	0	1
belongs	0	1
board	0	1
haiyoh	0	1
openings	0	1
mayb	0	13
sirji	0	1
caps	0	1
arab	0	1
fusion	0	1
sunoco	0	1
tarpon	0	1
qxj	4	0
bpo	0	1
wkly	14	0
night	6	103
nevr	0	1
sends	0	2
flatter	0	1
born	0	3
neva	0	17
amplikater	0	1
pressies	0	1
purple	0	1
asking	0	11
thgt	0	2
pls	11	99
posh	1	0
marketing	1	0
pose	0	1
baaaaabe	0	1
plz	0	21
hopeing	0	1
graduated	0	1
post	4	14
theirs	1	0
newspapers	0	1
months	5	8
dined	0	1
cherish	0	2
tonights	2	0
wasting	0	1
wan	4	52
wah	0	4
wad	0	1
ctagg	0	1
fight	0	4
accordingly	1	2
waz	0	1
way	1	97
wat	1	101
was	7	189
wap	8	0
shudvetold	0	1
ajith	0	1
true	6	23
reset	0	1
gauti	0	1
responding	1	2
maximum	1	0
braved	0	1
mth	1	1
mails	0	2
promises	0	2
allday	0	1
guesses	0	1
inclusive	5	0
abstract	0	1
religiously	0	1
guessed	0	1
promised	1	0
archive	0	1
dying	0	1
topped	1	0
reality	2	1
interested	1	7
unsubscribed	1	0
holding	0	7
test	0	21
shrink	0	1
kvb	0	1
brothers	0	1
truro	0	1
welcome	10	4
convincing	0	2
outreach	0	1
belive	0	2
scores	1	1
paces	0	1
modules	0	2
affidavit	0	1
together	0	21
loyal	2	0
reception	0	1
likeyour	0	1
songs	0	4
keralacircle	0	2
allowed	0	2
dance	0	2
global	1	0
anand	0	1
grateful	0	1
battle	0	2
persolvo	1	0
certainly	0	3
absolutly	0	2
flash	0	3
rhythm	0	1
amla	0	1
terror	0	1
brown	0	1
blimey	0	1
decking	0	1
brownie	0	1
vegas	0	1
anonymous	1	0
venaam	0	1
trouble	0	8
gua	0	1
gud	0	62
turns	0	6
gnarls	1	0
yuou	0	1
p	169	8
soooo	0	1
gut	0	1
tayseer	0	2
abiola	0	11
thinked	0	1
regret	0	4
presleys	1	0
cost	31	10
aaooooright	0	1
appear	0	1
barbie	1	0
assistance	0	1
uniform	0	1
shared	0	2
appeal	0	1
satisfy	2	0
jide	0	1
predicting	0	1
genes	0	1
downloaded	1	1
pause	1	0
suckers	0	1
teaches	0	2
teacher	0	2
change	0	22
sending	2	10
bangb	1	0
trial	1	0
usually	0	6
history	0	3
retired	0	1
extra	7	5
paragon	0	2
market	0	3
buttons	0	1
prove	0	3
westshore	0	1
live	24	17
tape	0	3
angels	0	1
club	16	1
envelope	2	2
clue	0	1
skyped	0	2
khelate	0	1
poyyarikatur	0	1
ibh	2	0
ibm	0	1
ibn	0	2
car	0	41
cat	0	4
stopsms	2	0
hardest	0	1
can	29	396
cam	2	2
cal	1	6
cab	0	1
heart	3	40
dedicated	0	2
getha	0	1
december	5	0
chip	0	2
chit	1	0
topic	0	2
heard	3	9
spk	0	4
spl	0	5
purity	0	4
mmmmmm	0	2
chic	0	1
urawinner	6	0
occur	0	1
sankatmochan	0	1
sayhey	0	1
pudunga	0	1
write	0	10
netun	1	0
sochte	0	1
hmph	0	1
undrstnd	0	1
mundhe	0	1
aom	1	0
use	9	39
southern	0	1
edukkukayee	0	1
commit	0	1
drastic	0	1
heroes	1	0
ffffuuuuuuu	0	1
lifting	0	1
wthout	0	1
remember	0	32
whenever	0	10
explicit	2	0
typical	0	1
approx	1	1
serving	0	2
tkts	4	0
indeed	0	2
forfeit	0	1
haircut	0	1
soc	0	1
ended	0	6
farrell	1	0
tablets	0	3
cold	0	7
still	7	148
birds	1	4
cola	1	0
enna	0	1
reacting	0	1
sexiest	1	0
mitsake	0	2
forms	0	2
window	0	2
showered	0	1
non	0	1
noi	0	1
nok	2	0
noe	0	20
half	13	27
not	23	395
now	194	291
hall	0	1
nor	0	1
nos	1	1
wont	0	33
slurp	0	1
january	1	6
drop	2	16
entirely	0	1
cliffs	0	1
poortiyagi	0	1
em	1	9
kano	0	6
domain	0	1
en	0	2
eh	1	12
ee	0	1
ed	0	1
eg	11	0
kane	0	1
ea	1	0
yeah	1	85
hurried	0	2
fires	0	1
ey	0	2
ex	0	11
year	6	42
happen	0	20
teams	0	1
trav	2	0
er	2	6
album	0	3
opened	0	1
space	2	5
looking	9	20
opener	0	1
receiving	2	2
showr	0	1
shows	31	5
cars	0	5
argh	0	3
rebel	0	1
marine	0	1
card	4	13
care	5	68
couldn	0	6
coulda	0	1
stapati	0	1
british	2	0
honest	0	1
melle	0	3
invitation	0	1
styles	0	1
promotion	1	0
prescripiton	1	0
lambda	0	1
blind	1	0
xh	7	0
flying	0	1
xn	2	0
madam	0	3
rinu	0	1
zac	0	1
yourself	1	21
xx	16	14
xy	3	8
directly	0	6
impossible	0	3
message	31	62
drove	0	2
tomorrow	10	80
xt	1	0
size	0	2
checked	0	6
silent	0	9
bookmark	1	0
caught	0	3
dawns	0	1
weekdays	0	1
compulsory	0	1
pathaya	0	1
friend	11	40
brainy	0	1
mostly	0	2
that	26	486
brains	0	1
cornwall	2	1
gastroenteritis	0	2
flowers	1	0
shitin	0	1
loverboy	0	6
gobi	0	1
transferred	1	0
hsbc	0	2
flirtparty	1	0
apples	0	1
browser	0	1
surname	0	1
correction	0	2
premier	2	0
slap	0	3
loko	0	1
breakfast	0	1
stoners	0	1
engin	0	2
offering	1	0
terrific	0	2
online	0	22
roommates	0	3
deus	0	2
bitching	0	1
begin	1	4
price	18	8
foregate	0	1
importantly	0	1
okors	0	1
crazyin	1	0
forever	0	10
failure	0	1
mrt	0	9
egg	0	5
mrw	0	5
implications	0	1
onluy	0	1
tooth	2	0
mro	0	1
clearing	0	2
alfie	3	0
professional	1	0
splleing	0	2
fifty	0	1
fletcher	0	1
fifth	0	1
ground	0	3
aint	0	4
upgrade	3	0
ratio	0	1
title	3	1
jolt	0	2
only	84	128
westlife	2	0
sathy	0	1
truly	3	2
cannot	0	5
celebrate	0	4
captaining	0	1
recharged	0	1
losers	0	1
amanda	1	0
layin	0	1
husband	0	3
concert	1	2
imposter	0	1
asleep	0	6
bambling	0	1
sport	5	1
concern	0	1
goodmate	0	1
conacted	1	0
seekers	0	1
thurs	2	3
colours	1	1
eppolum	0	1
landline	32	2
between	10	21
sorrow	0	2
notice	3	4
dogging	8	0
blame	0	3
hurts	0	8
pixels	0	1
shortbreaks	1	0
mone	0	1
installation	0	1
mono	3	0
voicemail	3	0
shindig	0	1
izzit	0	7
comes	3	17
nearby	0	1
jeans	0	2
preschoolco	0	1
pongal	0	5
brats	0	1
cares	0	3
informed	2	4
cared	0	2
applebees	0	2
cusoon	0	1
elvis	1	0
wounds	0	1
maggi	0	1
sticky	1	1
argentina	0	1
answerin	0	1
these	5	18
chinatown	0	1
joke	0	7
buen	0	1
yi	0	1
sdryb	0	1
soil	0	1
shampain	0	2
bian	0	1
canceled	0	1
somebody	2	9
ship	0	2
worry	0	23
underdtand	0	1
develop	0	2
yo	1	32
harish	0	1
aldrine	0	1
food	0	22
finish	0	40
fruit	0	1
getiing	0	1
pookie	0	1
theater	0	1
charges	2	2
responce	0	3
breezy	0	1
breeze	0	1
gotany	0	1
peripherals	0	1
charged	11	0
taxi	0	2
saristar	1	0
frankie	0	1
aunty	0	3
valuable	0	3
ijust	0	1
greetings	0	3
touch	1	17
speed	1	2
taxt	0	1
death	0	3
thinking	0	19
republic	0	1
real	15	24
amk	0	1
read	1	14
gonna	0	56
madstini	0	1
early	0	31
listening	1	5
lccltd	2	0
using	2	7
ams	0	1
lady	0	6
amt	0	5
sleepwell	0	2
hogidhe	0	1
fortune	0	1
pounds	17	2
postcard	0	2
suppliers	1	0
conducts	0	1
greeting	0	1
miracle	0	8
ganesh	0	2
blackberry	0	4
twelve	0	3
oble	0	1
exposed	0	1
exposes	0	1
astronomer	0	1
audrie	0	1
bless	0	3
pilates	0	6
madoke	0	1
recorded	0	1
irulinae	0	1
recorder	1	0
hustle	0	1
wlcome	0	1
wheat	0	1
ovulation	0	2
asap	6	5
seing	0	1
tuition	0	7
credits	9	0
drms	0	2
hectic	0	1
exciting	4	2
throw	0	4
sri	0	1
chop	0	1
srs	0	1
fell	0	3
greatly	0	1
srt	0	1
sry	0	3
tescos	0	1
heater	0	1
youi	0	1
wuldnt	0	1
operator	15	0
nowadays	0	2
your	227	360
tddnewsletter	1	0
ibuprofens	0	1
log	7	7
prepare	0	4
area	7	5
aren	0	5
assumed	0	1
loo	0	1
lol	0	74
lor	0	145
start	7	27
lov	0	2
low	1	2
lot	0	39
lou	0	2
somerset	0	1
jones	0	1
delayed	0	1
trying	15	28
hire	0	1
improved	2	0
loneliness	0	1
tones	22	0
cartons	0	1
sunroof	0	1
moved	0	3
sales	0	2
moves	0	2
hospitals	0	2
tahan	0	2
innings	0	3
bollox	0	1
sundayish	0	1
ringtone	29	0
event	0	2
housework	0	1
valid	27	0
evenings	0	2
mathematics	0	2
you	242	1349
yor	0	3
poor	0	9
poop	0	2
indyarocks	0	2
peak	2	0
coveragd	0	1
tendencies	0	1
pool	0	2
realising	0	1
building	0	3
lonlines	0	1
chords	0	1
freephone	8	0
carlin	0	1
strings	1	0
cruisin	0	1
surrounded	0	1
month	8	28
messy	0	2
makiing	0	1
surya	0	1
wml	2	0
anythingtomorrow	0	1
very	2	68
mph	0	1
minded	1	0
decide	0	9
mittelschmertz	0	1
heaven	0	1
deficient	0	1
anal	0	1
buddys	1	0
cookies	0	2
stopcs	1	0
gayle	0	1
skyving	0	1
ramaduth	0	1
hamper	0	1
darkness	0	1
dirt	0	1
learned	0	1
maths	0	1
loose	0	2
answers	0	4
recd	4	0
praises	0	1
iraq	0	1
fakeye	0	1
ahead	0	7
asa	0	1
creepy	0	2
fired	0	1
amount	0	5
arent	0	2
dizzamn	0	1
family	0	22
virgins	1	0
trained	1	0
mobstorequiz	1	0
polyph	3	0
takes	4	11
contains	0	1
planettalkinstant	1	0
taken	0	4
erode	0	1
lush	0	2
excuse	0	7
remixed	0	1
broke	0	5
hurry	1	6
problms	0	1
mustprovide	1	0
nino	0	1
optimistic	0	1
albi	0	1
bffs	0	1
pushes	0	2
aftr	0	6
cttergg	0	1
phrase	0	1
lrg	0	1
sipix	6	0
spreadsheet	0	1
stayed	0	2
outsomewhere	0	1
dramastorm	0	1
frndshp	0	1
fr	0	14
ft	0	1
tried	17	5
rude	3	1
rudi	0	1
fa	2	0
fb	0	6
ff	1	0
fl	4	0
fm	1	0
fo	0	2
a	303	887
morphine	0	3
fallen	0	1
anytime	12	4
laready	0	1
slacking	0	1
renewing	1	0
ego	0	1
banks	0	3
dream	3	7
photoshop	0	1
help	23	36
bcum	0	1
sooo	0	1
soon	3	57
cyclists	0	1
held	1	1
musthu	0	2
hell	0	7
uve	1	0
nordstrom	0	1
heron	0	1
actually	0	32
fromm	4	0
absence	0	1
kaypoh	0	1
systems	0	1
justthought	0	1
cutie	0	1
zyada	0	1
goodmorning	0	15
frndz	0	1
fool	0	4
evening	1	27
ym	0	5
than	1	36
ya	1	49
rwm	1	0
yf	2	0
vomit	0	5
cer	0	1
foot	0	2
yr	12	3
yt	1	0
decimal	0	22
payed	0	2
payee	0	2
iff	0	1
stopped	0	5
mouse	0	1
heavy	0	7
ummmmmaah	0	3
blank	0	2
accidentally	0	4
ball	1	1
squishy	0	1
goodnite	0	3
baaaaaaaabe	0	1
beyond	0	2
todo	0	1
gandhipuram	0	1
sinco	0	2
pretsovru	0	1
since	2	25
publish	0	1
jolly	0	2
safety	0	1
issue	0	3
gardener	0	3
ass	0	13
vasai	0	1
textin	0	1
asp	2	0
basq	0	1
mathe	0	1
reason	0	14
base	0	2
ask	0	83
earliest	0	1
bash	0	1
opps	0	1
vomitin	0	1
curtsey	0	1
terrible	0	3
american	0	3
expecting	0	5
syria	0	1
knocking	0	1
arsenal	2	0
sisters	0	1
smsservices	1	0
mist	0	1
miss	7	66
villa	1	0
horse	0	1
station	1	6
wenever	0	1
nigeria	0	8
hundred	0	2
selling	1	3
jordan	4	1
ipads	0	1
raping	0	1
std	11	0
kindly	0	3
grocers	0	1
sth	0	1
stu	0	1
dismissial	0	1
mobiles	13	0
str	2	3
sts	0	1
deciding	0	2
wasnt	0	1
hallaq	0	2
urgently	0	3
juicy	0	3
randomly	2	1
concentration	0	1
karo	0	1
lie	0	4
lib	0	2
deviousbitch	0	1
lil	0	3
lim	0	1
cave	0	1
scotland	1	2
lik	0	5
lit	0	1
teju	0	1
lip	0	2
useless	0	1
jeevithathile	0	1
towards	0	7
macs	0	1
frauds	0	2
quote	1	4
eaten	0	3
kay	0	2
mack	0	1
approved	0	1
watr	0	1
wats	0	6
salary	0	5
loxahatchee	0	2
mobile	115	15
clear	0	3
differ	0	1
clean	0	10
latest	34	3
physics	0	1
whenevr	0	2
cktz	1	0
flights	6	0
randy	2	0
pretty	0	15
hotmail	0	1
meanwhile	0	4
fromwrk	0	1
famous	0	1
feels	0	7
during	1	7
heltini	0	1
catches	0	1
rawring	0	1
boost	0	3
intrude	0	1
skillgame	3	0
perfume	0	1
groovying	0	1
hype	0	1
x	21	36
seventeen	0	1
throwing	0	1
corrct	0	1
kilos	0	1
close	4	14
wkend	1	3
wot	1	23
wow	2	10
habba	0	1
woo	0	1
won	76	19
checkmate	0	1
ystrday	0	1
wkent	2	0
probably	0	33
conditions	4	1
piss	0	2
unconscious	0	1
missing	1	17
both	0	21
doublemins	1	0
anot	0	2
sensitive	0	2
buzy	0	3
buzz	0	5
liked	0	7
battery	0	7
whatever	0	15
alone	3	14
likes	0	3
linux	0	1
beehoon	0	1
outstanding	0	3
enuff	0	3
damn	0	7
collected	2	1
shortcode	1	0
empty	0	4
alto	1	0
dialogue	0	1
lived	0	2
packs	2	0
wet	2	3
else	1	23
anthony	0	2
lives	0	4
compromised	0	1
imat	0	1
lool	0	1
look	3	28
presnts	0	1
iyo	0	1
wheellock	0	1
while	3	25
smart	2	2
korche	0	1
videosound	1	0
guide	0	5
pack	0	2
resolved	0	1
skype	0	4
ready	6	35
anymore	0	8
jeetey	0	1
belong	0	1
grinule	0	1
grand	0	4
shah	0	1
inmind	0	1
inperialmusic	0	1
cumming	0	1
used	1	14
classmates	0	1
fatty	0	1
dime	0	1
txtin	4	0
canlove	0	1
banter	0	1
optin	1	0
uses	0	1
user	8	1
obviously	0	5
moby	4	0
grins	0	12
mobs	1	0
uhhhhrmm	0	1
praying	0	3
password	3	4
guaranteed	50	0
havin	1	2
questioned	0	3
march	0	13
lacking	0	1
showing	0	7
tiring	0	1
game	8	12
gamb	1	0
dearly	0	3
girlfrnd	0	3
wings	1	0
inviting	6	0
signal	0	1
dungerees	0	1
toyota	0	1
junna	0	1
eek	0	2
vibrant	0	1
donno	0	2
mtmsgrcvd	4	0
parade	0	1
some	5	117
pierre	0	1
lipo	0	1
urgent	62	7
trends	0	1
minmobsmorelkpobox	3	0
mmmmm	0	2
thnov	0	1
delivered	4	0
qatar	0	6
phasing	0	1
forgets	0	2
foley	2	0
everybody	0	5
eating	0	7
marandratha	0	1
rum	0	2
rub	0	2
ayo	0	1
infra	0	1
step	0	3
ummifying	0	1
ache	0	4
utxt	1	0
abroad	1	0
faith	0	2
afternoons	0	1
idu	0	1
craigslist	0	1
idk	0	4
messaging	2	0
italian	0	5
shiny	0	1
idc	0	1
silence	0	2
yoyyooo	0	1
seeing	0	14
visit	7	9
within	7	6
fredericksburg	0	1
nothing	4	34
aburo	0	2
smells	0	1
spacebucks	0	1
maangalyam	0	2
renewal	1	1
syllabus	0	1
himself	0	1
llspeak	0	1
registered	4	4
pert	0	1
edhae	0	1
properly	0	2
bettersn	0	1
tobed	0	1
info	18	2
frnd	6	9
frnt	0	1
loving	0	17
ordered	3	1
adults	0	1
probpop	0	1
doesn	0	19
haiz	0	3
adewale	0	1
msging	0	3
necesity	0	1
nag	0	2
objection	0	1
btwn	0	1
nah	0	10
ranjith	0	3
nan	0	3
vilikkam	0	1
application	0	2
vargu	0	1
nav	0	1
kickboxing	0	1
nat	5	0
department	0	2
arithmetic	0	1
smiles	0	5
draw	39	5
smiley	0	1
smiled	0	1
bognor	0	1
gower	0	1
independently	0	1
e	11	76
dvd	7	1
dvg	0	1
required	0	1
svc	1	0
stdtxtrate	1	0
bribe	0	1
ignorant	0	1
requires	0	1
gv	0	2
gt	0	242
gr	8	13
kath	1	0
gf	0	2
ge	0	12
gd	0	18
gb	6	0
ga	2	1
go	33	237
gn	0	10
gm	0	5
kate	0	11
sugardad	0	1
suits	0	2
computerless	0	1
oclock	0	1
does	3	28
suite	17	2
rto	0	1
fond	0	1
maat	0	1
kitty	0	1
wave	1	0
tue	0	1
vibrator	0	1
facebook	0	8
nichols	1	2
answr	0	1
telling	0	12
nammanna	0	1
gender	2	0
michael	0	1
ryan	0	2
inspection	0	1
aretaking	0	1
booty	0	3
impressively	0	1
zf	1	0
waking	0	5
jump	0	1
picked	4	4
download	3	8
click	4	2
zs	1	0
sausage	0	1
wylie	0	4
soup	0	3
yck	0	2
experiment	0	1
houseful	0	1
weirdy	0	1
commercial	0	2
weirdo	0	1
sitll	0	2
gent	2	0
huiming	0	1
bugis	0	7
paranoid	0	1
products	0	1
eckankar	0	1
wif	0	26
wid	5	15
clark	0	2
danger	0	1
win	68	8
manage	0	2
wiv	2	5
wit	0	13
singing	0	2
cloud	0	1
announced	0	1
crap	0	2
remains	0	3
ques	0	2
camera	31	3
crab	0	1
vehicle	0	1
braindance	0	1
weirdest	0	2
okmail	1	0
popped	0	3
formally	0	1
shagged	2	0
becomes	0	1
workage	0	1
speling	0	1
confused	0	2
priya	0	1
salad	0	1
ride	0	5
salam	0	2
recession	0	2
kettoda	0	4
drops	0	1
toclaim	6	0
control	0	2
links	0	1
sudn	0	1
waaaat	0	1
halloween	3	0
bhamb	1	0
pulling	0	1
kbsubject	1	0
wonderful	0	15
skirt	0	1
hesitate	0	1
toplay	0	1
yetunde	0	4
farm	0	3
onbus	0	1
interviw	0	1
spelling	0	1
scool	0	1
ibiza	4	0
claire	1	1
temp	0	3
swimming	0	3
bathing	0	4
unbreakable	2	0
maaaan	0	1
including	0	7
costume	0	1
cruise	2	1
mentioned	0	1
blake	0	3
dancin	0	1
pura	0	1
arngd	0	1
cherthala	0	1
ofsi	0	1
auto	0	3
nokia	54	3
sweets	0	2
hands	0	5
front	0	2
sometme	0	1
masters	0	4
university	0	3
slide	1	1
mode	0	9
crossing	0	1
shaking	0	1
alertfrom	1	0
mas	0	4
hlp	2	0
measure	0	3
special	19	30
secretly	2	0
reboot	0	2
stayin	0	2
strokes	1	0
pendent	0	1
cause	0	18
cricketer	0	2
wined	0	1
attending	0	1
completely	1	8
princess	0	32
hostile	0	1
route	0	1
florida	0	1
mac	0	2
times	0	27
telephonic	0	1
wellda	0	1
knickers	1	0
annoyin	0	1
shrek	0	1
rcv	4	0
powerful	0	1
bars	0	1
hrishi	0	2
bitch	1	4
quality	2	5
management	0	3
usmle	0	1
privacy	1	1
bears	2	0
revealed	5	0
attach	0	1
attack	0	1
yourinclusive	1	0
final	16	2
prone	0	1
craziest	0	2
lighters	0	1
punish	0	1
exactly	0	6
apologise	0	3
lists	0	1
cashbin	1	0
biggest	3	1
cya	0	1
listn	0	1
sumthin	0	2
herself	2	0
ultimatum	0	2
ben	1	2
bec	0	2
macleran	0	1
beg	1	1
submitted	0	1
ard	0	21
providing	0	1
bet	0	4
lightly	0	1
nimbomsons	0	1
need	9	153
q	6	2
able	0	26
relatives	0	2
mango	0	1
truck	0	2
lecturer	0	1
mileage	0	1
gamestar	2	0
stopcost	1	0
aww	0	2
expires	17	0
jorge	1	0
santacalling	1	0
thts	0	6
intentions	0	1
hiphop	0	1
connected	1	0
expired	1	1
smartcall	1	0
